name,date,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00
A1,2020/2/11,0,1,0,0,0,0,0,0,1,0,0
A1,2020/2/12,1,0,1,0,1,1,0,1,0,0,1
A1,2020/2/13,1,0,0,1,0,1,0,1,0,1,1
A1,2020/2/14,1,1,0,0,1,1,0,0,0,1,1
A1,2020/2/15,0,0,0,0,1,1,0,0,0,1,0
A1,2020/2/16,1,0,1,1,0,1,0,1,1,0,0
A1,2020/2/17,0,1,1,0,0,0,0,0,0,0,0
A1,2020/2/18,0,1,0,0,0,1,1,1,1,1,1
A1,2020/2/19,1,0,1,0,0,0,1,0,0,0,0
A1,2020/2/20,0,1,0,0,1,1,1,0,1,0,1
A1,2020/2/21,1,0,1,0,1,1,0,1,0,1,0
A1,2020/2/22,1,0,0,0,0,0,1,1,1,1,1
A1,2020/2/23,1,1,0,0,1,1,0,1,0,0,0
A1,2020/2/24,1,1,0,0,1,1,1,1,1,0,0
A1,2020/2/25,1,0,1,1,1,0,1,0,0,1,0
A1,2020/2/26,0,1,1,1,0,0,1,0,1,1,1
A1,2020/2/27,0,1,0,1,0,0,0,1,1,0,0
A1,2020/2/28,0,0,1,0,0,0,1,0,0,1,1
A1,2020/2/29,1,1,1,1,0,0,0,0,0,1,0
A1,2020/2/30,1,1,1,1,0,1,0,1,0,0,0
A2,2019/12/1,0,0,0,1,1,1,0,0,1,1,0
A2,2019/12/2,0,0,1,1,0,1,1,0,0,0,0
A2,2019/12/3,0,0,1,1,1,0,0,0,0,0,0
A2,2019/12/4,1,1,0,0,1,0,1,1,1,1,0
A2,2019/12/5,0,0,0,1,0,1,1,0,1,0,0
A2,2019/12/6,0,0,0,0,1,0,1,0,1,1,1
A2,2019/12/7,1,0,1,0,0,0,0,0,1,1,0
A2,2019/12/8,0,1,0,0,1,1,1,1,0,1,1
A2,2019/12/9,0,0,1,1,0,0,0,0,0,1,0
A2,2019/12/10,0,0,0,1,0,0,1,0,0,1,0
A2,2019/12/11,0,0,0,1,0,0,0,0,0,1,1
A2,2019/12/12,1,1,0,1,0,1,1,1,0,0,0
A2,2019/12/13,0,0,1,1,1,0,0,0,1,0,1
A2,2019/12/14,0,0,1,1,1,0,0,0,1,1,0
A2,2019/12/15,0,0,1,0,0,0,1,1,1,1,0
A2,2019/12/16,1,1,1,1,0,0,0,1,1,0,1
A2,2019/12/17,1,1,1,1,0,0,0,0,1,0,0
A2,2019/12/18,1,0,1,0,0,1,1,1,0,0,1
A2,2019/12/19,1,1,0,0,1,0,1,0,1,1,0
A2,2019/12/20,1,1,1,0,1,0,1,1,0,0,0
A2,2019/12/21,0,0,0,1,1,1,1,1,0,0,0
A2,2019/12/22,0,0,0,0,1,1,0,1,0,0,0
A2,2019/12/23,0,1,0,0,0,0,0,1,0,0,1
A2,2019/12/24,0,0,1,1,1,1,1,0,1,0,1
A2,2019/12/25,0,0,1,0,0,0,1,0,0,1,0
A2,2019/12/26,0,1,1,1,0,0,1,0,0,1,1
A2,2019/12/27,0,0,1,1,1,1,0,0,0,1,0
A2,2019/12/28,0,1,1,0,1,1,0,1,0,0,0
A2,2019/12/29,1,0,0,1,0,0,1,1,0,0,1
A2,2019/12/30,0,0,0,0,1,0,1,0,1,0,0
A2,2020/1/1,1,1,1,1,1,1,0,1,0,0,1
A2,2020/1/2,1,1,0,1,0,1,0,0,1,0,0
A2,2020/1/3,0,0,0,1,1,0,1,1,1,1,0
A2,2020/1/4,1,1,0,1,1,1,0,1,1,0,0
A2,2020/1/5,0,1,1,1,0,1,1,0,1,0,0
A2,2020/1/6,1,1,0,0,1,1,0,0,0,0,1
A2,2020/1/7,0,1,0,1,0,0,1,1,1,1,0
A2,2020/1/8,1,0,1,0,0,0,0,1,0,1,1
A2,2020/1/9,0,1,0,1,1,0,1,1,1,1,0
A2,2020/1/10,1,1,1,0,1,0,1,1,1,1,1
A2,2020/1/11,1,1,1,1,0,0,0,0,0,0,0
A2,2020/1/12,0,1,1,0,1,1,0,0,1,1,0
A2,2020/1/13,1,1,1,0,0,0,1,0,1,0,1
A2,2020/1/14,1,1,1,1,0,1,0,1,1,1,1
A2,2020/1/15,0,1,0,0,0,0,1,1,0,1,0
A2,2020/1/16,0,1,0,1,0,0,0,0,1,1,1
A2,2020/1/17,1,0,0,0,1,0,0,1,0,1,1
A2,2020/1/18,1,1,0,0,1,1,0,0,1,0,1
A2,2020/1/19,0,1,0,1,1,1,1,1,0,0,0
A2,2020/1/20,0,0,0,0,1,0,1,1,0,1,0
A2,2020/1/21,1,1,0,0,1,1,0,1,0,1,1
A2,2020/1/22,1,1,1,1,1,0,0,1,1,1,0
A2,2020/1/23,0,1,0,1,1,0,0,1,1,0,0
A2,2020/1/24,0,1,0,0,0,0,1,0,0,1,1
A2,2020/1/25,0,1,1,0,1,0,1,1,0,1,0
A2,2020/1/26,1,1,1,1,0,0,0,1,1,0,1
A2,2020/1/27,0,1,0,1,0,1,1,0,0,0,1
A2,2020/1/28,1,0,0,1,0,0,1,1,0,0,0
A2,2020/1/29,0,0,1,0,0,1,0,0,1,0,1
A2,2020/1/30,1,1,1,0,0,1,0,1,1,0,1
A2,2020/2/1,0,1,1,0,1,1,0,1,0,0,0
A2,2020/2/2,0,1,1,1,1,1,0,0,0,0,0
A2,2020/2/3,1,1,1,1,1,0,1,0,0,0,1
A2,2020/2/4,0,0,0,0,1,1,0,1,1,0,0
A2,2020/2/5,0,1,0,0,1,1,0,0,1,1,0
A2,2020/2/6,1,1,1,1,1,0,0,0,1,0,0
A2,2020/2/7,0,1,1,1,1,0,1,1,0,0,0
A2,2020/2/8,1,0,0,1,0,1,0,0,1,0,0
A2,2020/2/9,0,0,0,0,0,1,1,1,1,0,0
A2,2020/2/10,0,0,0,0,0,0,1,1,0,1,1
A2,2020/2/11,0,1,1,1,1,1,1,1,0,1,0
A2,2020/2/12,1,0,1,0,0,1,0,0,1,0,1
A2,2020/2/13,1,0,1,1,1,0,0,1,0,1,1
A2,2020/2/14,0,1,1,0,1,1,0,1,0,0,0
A2,2020/2/15,0,1,1,1,0,1,1,1,1,0,0
A2,2020/2/16,0,1,1,0,0,1,1,0,0,1,0
A2,2020/2/17,1,0,0,0,1,1,1,1,0,0,1
A2,2020/2/18,0,1,1,0,0,0,1,0,0,0,1
A2,2020/2/19,0,0,0,1,1,1,0,1,0,0,1
A2,2020/2/20,1,1,1,1,1,0,1,0,0,0,1
A2,2020/2/21,1,1,1,1,0,0,0,1,1,1,0
A2,2020/2/22,1,0,0,1,0,1,0,0,1,0,0
A2,2020/2/23,0,0,0,1,1,1,1,1,1,0,1
A2,2020/2/24,1,1,1,0,0,1,1,1,0,1,0
A2,2020/2/25,0,0,1,0,1,0,0,0,1,1,1
A2,2020/2/26,1,1,1,0,1,0,0,0,1,1,1
A2,2020/2/27,0,1,1,1,1,1,0,0,0,1,1
A2,2020/2/28,0,1,1,1,1,1,1,1,1,1,0
A2,2020/2/29,1,1,1,1,0,1,0,0,0,1,0
A2,2020/2/30,1,1,1,0,1,1,1,1,1,0,0
A3,2019/12/1,0,0,1,1,0,0,1,1,1,1,0
A3,2019/12/2,1,0,1,1,0,0,1,1,1,1,1
A3,2019/12/3,1,1,0,1,1,0,0,1,1,1,1
A3,2019/12/4,1,1,0,1,0,1,0,1,0,0,0
A3,2019/12/5,0,0,0,0,0,1,0,0,0,0,0
A3,2019/12/6,0,0,1,0,0,1,0,0,0,1,0
A3,2019/12/7,1,0,0,1,0,1,0,1,0,0,0
A3,2019/12/8,0,0,1,1,1,1,1,1,0,1,1
A3,2019/12/9,0,0,0,1,1,1,1,0,0,1,1
A3,2019/12/10,1,0,0,0,0,1,0,1,1,0,1
A3,2019/12/11,0,1,1,1,1,0,0,1,1,1,1
A3,2019/12/12,0,1,0,0,0,1,0,0,1,1,1
A3,2019/12/13,0,0,1,0,1,0,1,0,1,0,0
A3,2019/12/14,0,1,0,0,0,1,1,0,1,0,1
A3,2019/12/15,0,0,0,0,1,1,0,0,0,1,0
A3,2019/12/16,0,0,0,0,1,0,1,1,0,1,0
A3,2019/12/17,1,0,0,0,0,0,0,1,0,1,1
A3,2019/12/18,1,1,0,1,1,0,1,1,1,0,1
A3,2019/12/19,1,1,1,1,0,0,0,1,1,1,1
A3,2019/12/20,0,0,1,1,1,1,0,0,0,1,1
A3,2019/12/21,0,0,0,0,1,1,0,0,0,0,1
A3,2019/12/22,0,0,1,1,0,0,1,0,0,0,0
A3,2019/12/23,0,1,1,0,0,0,1,1,0,1,1
A3,2019/12/24,0,1,0,1,1,1,1,1,0,1,0
A3,2019/12/25,1,0,1,0,1,0,1,1,0,0,0
A3,2019/12/26,0,0,1,0,1,1,1,0,1,1,0
A3,2019/12/27,1,0,1,0,0,0,0,0,1,1,1
A3,2019/12/28,0,0,1,0,0,0,1,1,1,1,0
A3,2019/12/29,0,0,1,1,1,1,0,1,1,0,0
A3,2019/12/30,0,1,0,1,0,1,0,0,1,0,1
A3,2020/1/1,0,1,0,1,0,1,0,0,1,1,1
A3,2020/1/2,1,1,0,1,0,1,1,1,1,1,1
A3,2020/1/3,0,0,0,1,0,0,0,0,0,1,1
A3,2020/1/4,0,0,0,1,0,1,1,0,1,0,1
A3,2020/1/5,0,0,0,0,1,0,0,0,0,1,0
A3,2020/1/6,1,0,0,0,1,0,1,0,1,1,1
A3,2020/1/7,1,0,1,1,1,0,1,0,1,1,0
A3,2020/1/8,1,1,1,0,1,1,1,0,0,0,0
A3,2020/1/9,0,1,0,0,1,0,0,0,1,0,0
A3,2020/1/10,0,1,1,0,1,0,0,0,0,0,0
A3,2020/1/11,1,1,1,0,0,1,1,1,0,1,0
A3,2020/1/12,0,0,0,1,1,0,0,0,1,0,0
A3,2020/1/13,1,0,0,0,0,0,1,0,0,0,1
A3,2020/1/14,1,0,0,0,0,0,1,1,1,1,1
A3,2020/1/15,1,1,1,1,1,0,0,0,0,0,0
A3,2020/1/16,0,1,1,0,1,0,1,0,1,1,1
A3,2020/1/17,1,1,1,1,1,1,1,0,0,1,1
A3,2020/1/18,0,0,0,0,0,0,1,1,1,0,1
A3,2020/1/19,1,1,0,1,0,1,1,0,1,1,0
A3,2020/1/20,0,1,0,1,1,1,1,0,1,0,1
A3,2020/1/21,0,1,0,0,0,1,1,0,0,1,1
A3,2020/1/22,0,0,1,0,1,1,1,0,1,0,1
A3,2020/1/23,0,0,0,0,0,1,0,1,1,1,1
A3,2020/1/24,1,1,1,0,0,1,0,1,0,0,1
A3,2020/1/25,0,0,1,0,1,0,0,1,1,1,0
A3,2020/1/26,1,0,0,1,1,1,1,1,1,0,1
A3,2020/1/27,1,0,0,1,1,0,0,1,0,1,1
A3,2020/1/28,1,1,0,0,1,1,0,1,0,0,0
A3,2020/1/29,0,0,0,1,0,0,0,1,0,1,0
A3,2020/1/30,0,1,0,1,1,1,0,0,1,0,1
A3,2020/2/1,1,1,1,0,0,1,1,0,0,0,1
A3,2020/2/2,0,0,1,0,0,0,0,1,0,1,1
A3,2020/2/3,1,1,1,1,1,0,1,1,0,1,1
A3,2020/2/4,0,1,1,1,1,1,0,1,1,1,1
A3,2020/2/5,0,0,1,0,0,0,1,0,1,1,1
A3,2020/2/6,1,0,1,1,0,0,1,0,0,1,1
A3,2020/2/7,0,0,0,1,0,0,0,0,0,1,0
A3,2020/2/8,1,0,1,1,1,0,0,0,0,0,1
A3,2020/2/9,0,0,0,0,1,0,1,0,0,0,0
A3,2020/2/10,0,1,0,1,0,1,0,0,0,1,1
A3,2020/2/11,0,1,0,1,1,1,0,1,0,1,1
A3,2020/2/12,0,0,1,1,0,1,1,0,1,1,0
A3,2020/2/13,1,0,1,0,1,1,0,1,1,0,0
A3,2020/2/14,1,0,1,1,1,0,0,0,1,1,0
A3,2020/2/15,1,0,1,0,0,1,0,1,1,1,0
A3,2020/2/16,0,0,0,1,0,0,0,0,0,1,1
A3,2020/2/17,1,1,0,0,0,0,1,1,1,1,0
A3,2020/2/18,0,1,1,0,0,1,0,1,0,0,0
A3,2020/2/19,0,1,0,0,1,1,0,0,1,1,1
A3,2020/2/20,0,1,0,0,1,1,1,0,1,1,1
A3,2020/2/21,0,0,0,1,0,1,0,0,1,0,0
A3,2020/2/22,1,1,0,0,0,1,0,1,1,0,1
A3,2020/2/23,0,0,0,1,0,0,0,1,1,1,0
A3,2020/2/24,1,0,0,0,1,1,1,0,0,1,1
A3,2020/2/25,1,1,0,0,0,1,0,1,0,0,0
A3,2020/2/26,0,1,0,0,0,0,1,0,0,0,0
A3,2020/2/27,0,0,1,1,1,0,0,1,1,0,0
A3,2020/2/28,1,0,1,1,1,1,0,0,0,1,1
A3,2020/2/29,0,1,0,0,1,1,0,1,1,0,0
A3,2020/2/30,0,1,0,0,1,1,0,0,1,0,1
A4,2019/12/1,1,1,1,1,0,0,1,1,0,1,0
A4,2019/12/2,0,0,1,0,1,1,1,0,0,1,1
A4,2019/12/3,1,0,1,1,1,1,1,1,1,0,0
A4,2019/12/4,0,1,1,0,1,0,0,1,0,1,0
A4,2019/12/5,1,1,1,1,1,0,1,1,1,0,1
A4,2019/12/6,1,0,1,1,0,0,0,0,0,0,0
A4,2019/12/7,0,1,0,0,0,1,0,0,1,1,1
A4,2019/12/8,0,0,1,0,1,0,0,0,0,1,1
A4,2019/12/9,0,0,0,0,0,0,0,1,0,0,1
A4,2019/12/10,0,1,0,0,0,0,1,0,0,1,1
A4,2019/12/11,1,0,0,0,1,0,1,1,0,0,1
A4,2019/12/12,1,0,1,0,0,1,0,1,0,0,0
A4,2019/12/13,0,0,0,1,1,0,1,1,1,1,1
A4,2019/12/14,0,0,0,0,0,1,1,1,0,1,1
A4,2019/12/15,0,1,0,0,0,1,0,0,0,0,0
A4,2019/12/16,1,0,0,1,0,0,0,1,0,1,1
A4,2019/12/17,1,1,0,0,1,1,0,1,0,0,1
A4,2019/12/18,0,1,0,0,0,0,1,1,1,0,0
A4,2019/12/19,1,0,1,0,0,1,1,1,0,0,0
A4,2019/12/20,0,1,1,0,0,0,1,1,1,0,1
A4,2019/12/21,1,0,1,0,1,0,1,0,0,1,0
A4,2019/12/22,0,0,0,1,0,0,0,0,0,0,0
A4,2019/12/23,0,1,0,0,0,0,0,0,0,0,1
A4,2019/12/24,1,1,1,0,1,0,0,0,0,1,0
A4,2019/12/25,0,1,1,0,1,1,1,1,0,0,1
A4,2019/12/26,0,1,1,1,0,1,1,1,1,1,0
A4,2019/12/27,1,0,1,0,1,1,0,0,0,1,1
A4,2019/12/28,1,1,0,1,1,0,1,0,0,1,0
A4,2019/12/29,1,1,1,0,1,0,1,0,1,0,0
A4,2019/12/30,1,1,1,0,1,1,0,1,1,0,0
A4,2020/1/1,1,0,1,1,1,1,0,0,0,0,0
A4,2020/1/2,1,0,1,1,0,1,0,1,0,1,0
A4,2020/1/3,0,0,1,1,0,0,0,0,1,1,1
A4,2020/1/4,1,1,0,1,0,0,0,1,1,0,1
A4,2020/1/5,0,1,0,1,0,1,1,1,0,0,0
A4,2020/1/6,0,0,1,0,0,0,0,0,1,0,1
A4,2020/1/7,0,0,1,0,1,0,1,0,1,1,0
A4,2020/1/8,0,0,0,1,1,1,1,1,1,1,1
A4,2020/1/9,1,0,0,1,0,0,0,1,1,0,0
A4,2020/1/10,0,0,0,0,0,1,0,1,0,0,1
A4,2020/1/11,1,0,1,0,0,0,1,0,1,1,1
A4,2020/1/12,0,0,0,0,1,1,1,0,1,0,0
A4,2020/1/13,1,0,1,0,1,0,0,0,1,0,0
A4,2020/1/14,0,1,0,0,0,0,1,1,0,0,1
A4,2020/1/15,1,1,0,1,0,0,0,0,1,0,0
A4,2020/1/16,1,1,0,0,0,1,0,1,1,0,1
A4,2020/1/17,1,1,0,0,0,0,0,1,0,0,0
A4,2020/1/18,0,1,1,0,1,0,0,1,1,0,1
A4,2020/1/19,0,1,0,0,0,1,0,0,1,1,0
A4,2020/1/20,0,0,0,1,0,0,1,1,1,0,0
A4,2020/1/21,1,1,1,1,0,1,1,0,1,0,0
A4,2020/1/22,0,1,1,0,0,1,1,1,1,1,0
A4,2020/1/23,1,1,0,1,1,1,1,1,0,0,1
A4,2020/1/24,0,0,0,0,1,0,1,1,1,0,1
A4,2020/1/25,0,1,0,1,0,1,1,1,1,0,1
A4,2020/1/26,1,1,1,1,0,0,1,1,1,0,0
A4,2020/1/27,0,1,0,0,0,1,0,1,0,0,1
A4,2020/1/28,0,0,1,1,1,0,0,0,1,1,0
A4,2020/1/29,1,1,0,1,0,1,1,0,0,1,1
A4,2020/1/30,0,1,1,0,0,1,0,1,1,1,1
A4,2020/2/1,1,1,1,1,1,0,0,1,0,0,1
A4,2020/2/2,0,0,1,0,0,0,0,1,1,0,1
A4,2020/2/3,0,0,1,0,1,0,0,0,0,0,1
A4,2020/2/4,0,1,0,1,1,0,1,1,0,0,1
A4,2020/2/5,0,0,1,1,1,0,0,0,0,0,1
A4,2020/2/6,0,1,1,1,1,0,0,0,1,0,0
A4,2020/2/7,1,1,0,1,1,1,1,0,1,0,1
A4,2020/2/8,1,0,0,1,0,1,0,0,1,0,1
A4,2020/2/9,0,0,0,0,0,0,0,1,0,1,0
A4,2020/2/10,1,0,1,1,1,0,1,1,1,0,0
A4,2020/2/11,0,1,0,1,1,1,0,0,0,1,0
A4,2020/2/12,0,0,1,1,1,0,1,0,0,1,0
A4,2020/2/13,0,1,0,1,0,0,0,0,1,1,1
A4,2020/2/14,1,0,1,0,1,0,1,1,1,0,1
A4,2020/2/15,1,1,0,1,0,0,0,1,0,1,0
A4,2020/2/16,1,1,1,1,1,1,0,0,1,1,0
A4,2020/2/17,1,0,1,1,1,1,1,1,1,0,1
A4,2020/2/18,1,0,0,0,1,1,0,0,0,1,1
A4,2020/2/19,1,0,1,1,1,0,1,0,0,0,1
A4,2020/2/20,1,0,1,1,1,0,0,0,1,1,1
A4,2020/2/21,1,0,0,0,0,1,1,0,0,0,0
A4,2020/2/22,1,0,0,1,0,1,0,0,0,1,0
A4,2020/2/23,0,0,0,1,0,0,0,1,1,1,0
A4,2020/2/24,1,1,1,0,1,1,0,1,1,1,1
A4,2020/2/25,1,1,1,0,1,1,0,1,1,1,0
A4,2020/2/26,0,0,0,0,1,1,0,0,1,0,1
A4,2020/2/27,0,0,1,0,0,0,1,1,1,0,1
A4,2020/2/28,1,1,1,1,1,1,1,0,0,0,1
A4,2020/2/29,0,0,1,0,1,1,0,0,0,0,1
A4,2020/2/30,0,1,0,0,1,0,0,0,0,0,0
A5,2019/12/1,0,0,0,1,1,0,0,0,0,1,1
A5,2019/12/2,0,1,1,1,1,1,1,0,1,0,0
A5,2019/12/3,1,1,0,1,0,0,1,1,0,1,1
A5,2019/12/4,0,0,0,1,1,0,1,0,1,1,1
A5,2019/12/5,0,0,1,1,0,1,1,0,1,0,0
A5,2019/12/6,1,0,0,0,0,0,0,1,0,0,1
A5,2019/12/7,1,0,1,0,0,1,0,0,1,1,0
A5,2019/12/8,1,0,1,0,0,1,0,1,0,1,0
A5,2019/12/9,0,0,1,1,0,0,1,0,0,0,1
A5,2019/12/10,0,1,0,1,0,1,0,0,0,0,1
A5,2019/12/11,0,0,0,0,0,0,1,1,0,0,0
A5,2019/12/12,0,1,1,1,0,0,1,1,1,0,1
A5,2019/12/13,1,1,1,1,1,0,1,1,1,1,1
A5,2019/12/14,1,1,1,1,0,0,1,0,1,0,1
A5,2019/12/15,0,1,0,0,1,0,0,1,0,0,0
A5,2019/12/16,0,0,1,1,1,1,0,0,1,0,1
A5,2019/12/17,1,1,0,0,0,1,0,1,1,0,1
A5,2019/12/18,0,1,1,0,1,0,1,0,0,0,0
A5,2019/12/19,1,0,1,1,1,0,1,0,1,0,1
A5,2019/12/20,0,1,0,0,0,1,1,1,1,1,0
A5,2019/12/21,0,0,1,1,1,1,0,1,0,1,0
A5,2019/12/22,1,1,1,0,0,0,1,1,0,0,0
A5,2019/12/23,0,0,1,0,1,0,1,1,0,0,1
A5,2019/12/24,0,1,0,1,1,1,1,1,0,1,0
A5,2019/12/25,1,1,1,1,0,1,0,0,0,1,0
A5,2019/12/26,0,1,0,0,1,1,1,0,1,0,0
A5,2019/12/27,0,0,0,0,0,0,0,0,0,0,0
A5,2019/12/28,0,1,1,0,0,1,0,1,0,0,1
A5,2019/12/29,0,0,1,1,0,1,1,1,1,1,0
A5,2019/12/30,1,0,1,1,0,1,1,1,1,0,1
A5,2020/1/1,1,1,0,1,1,0,0,0,1,0,1
A5,2020/1/2,1,1,0,0,1,1,0,1,0,0,0
A5,2020/1/3,0,0,0,1,0,0,0,0,0,0,0
A5,2020/1/4,1,1,0,0,1,1,1,1,0,1,1
A5,2020/1/5,1,0,0,1,0,1,0,1,1,1,0
A5,2020/1/6,1,0,1,1,0,0,1,0,1,0,1
A5,2020/1/7,0,1,1,0,0,1,1,1,1,0,1
A5,2020/1/8,0,0,1,0,0,1,1,0,0,1,1
A5,2020/1/9,0,0,0,0,1,1,1,1,0,0,1
A5,2020/1/10,1,1,1,0,0,1,1,1,0,1,0
A5,2020/1/11,0,1,1,0,1,1,0,1,0,0,0
A5,2020/1/12,1,1,1,1,1,1,0,0,0,1,1
A5,2020/1/13,1,1,0,0,1,1,0,1,1,1,1
A5,2020/1/14,1,0,0,0,0,1,0,1,1,0,0
A5,2020/1/15,0,0,0,1,0,0,1,1,1,1,0
A5,2020/1/16,1,0,0,0,1,1,0,0,0,0,1
A5,2020/1/17,1,1,1,1,1,1,1,0,0,1,0
A5,2020/1/18,0,1,0,0,0,0,1,1,1,0,0
A5,2020/1/19,1,0,1,0,0,1,0,0,1,1,1
A5,2020/1/20,1,1,0,0,0,0,1,1,0,0,0
A5,2020/1/21,1,0,1,0,0,0,0,0,0,1,1
A5,2020/1/22,1,0,0,0,1,1,0,0,0,1,1
A5,2020/1/23,1,1,0,1,1,1,1,1,0,0,0
A5,2020/1/24,1,0,0,1,0,1,0,1,1,0,1
A5,2020/1/25,1,0,0,1,1,1,0,1,1,0,1
A5,2020/1/26,0,0,1,1,0,0,0,0,0,0,1
A5,2020/1/27,1,0,0,1,1,0,0,0,0,0,0
A5,2020/1/28,0,0,0,0,1,0,1,0,0,0,1
A5,2020/1/29,1,0,1,0,0,1,1,1,0,1,0
A5,2020/1/30,0,0,1,0,0,0,1,0,1,1,0
A5,2020/2/1,1,0,0,1,1,1,1,1,1,1,0
A5,2020/2/2,1,1,0,0,1,0,0,0,0,0,0
A5,2020/2/3,0,0,1,1,1,0,0,0,1,1,1
A5,2020/2/4,0,1,1,1,1,1,1,1,1,0,0
A5,2020/2/5,0,1,0,1,0,0,0,1,0,0,0
A5,2020/2/6,0,1,0,1,0,0,0,0,1,0,1
A5,2020/2/7,0,1,1,1,1,0,1,0,0,0,0
A5,2020/2/8,1,1,0,1,0,0,1,0,1,1,1
A5,2020/2/9,0,1,0,1,0,1,0,1,1,0,0
A5,2020/2/10,1,0,0,1,0,0,0,1,1,0,1
A5,2020/2/11,1,1,0,1,1,0,0,1,1,0,0
A5,2020/2/12,0,0,0,1,1,1,1,1,0,1,0
A5,2020/2/13,0,1,1,0,1,0,0,1,0,1,0
A5,2020/2/14,0,1,1,0,0,1,1,0,1,0,0
